书名,作者,评分,评价,评价人数,出版日期,单价,URL
时间旅行者的妻子,[美] 奥德丽·尼芬格 ,8.1,在时间的缝隙中穿行，然后相遇,35850, 2007-4 , 29.90元,https://book.douban.com/subject/2056749/
告别薇安,安妮宝贝 ,7.5,七月与安生,37881, 2000-1 , 19.00,https://book.douban.com/subject/1016523/
常识,梁文道 ,8.1,献给这个常识稀缺的时代,36015, 2009-1 , 38.00,https://book.douban.com/subject/3344676/
爱你就像爱生命,王小波 ,8.8,王小波与李银河的两地书,38329, 2008-5 , 18.00元,https://book.douban.com/subject/3071717/
撒哈拉的故事,三毛 ,9.3,不枉来这世上走一遭,36996, 2011-1-7 , 24.00元,https://book.douban.com/subject/6710437/
步步惊心,桐华 ,8.1,现世太苦，不如穿越回去从头来过,35750, 2006-6 , 25.00元,https://book.douban.com/subject/1812439/
皮囊,蔡崇达 ,7.6,皮囊之下，骨肉相连,45269, 2014-12-1 , 39.80元,https://book.douban.com/subject/26278687/
二三事,安妮宝贝 ,7.7,关于遗忘和记得的故事,35983, 2004-1 , 20.00元,https://book.douban.com/subject/1058234/
兄弟（下）,余华 ,7.4,失控边缘的下部，但谁说荒诞就是不真,38001, 2006-3 , 27.00元,https://book.douban.com/subject/1703544/
孤独六讲,蒋勋 ,8.1,作为一种美学的孤独,37075, 2009-10-1 , 36.00元,https://book.douban.com/subject/4124727/
乌合之众,(法)古斯塔夫.勒庞 ,8.3,群氓心理剖析,39763, 1998-01 , 16.00元,https://book.douban.com/subject/1012611/
盗墓笔记2,南派三叔 ,8.2,秦岭神树细思极恐,35480, 2007-4 , 26.80元,https://book.douban.com/subject/2057285/
明朝那些事儿（肆）,当年明月 ,8.8,大明朝当真名士如云,33520, 2007-9 , 24.80,https://book.douban.com/subject/2253642/
失恋33天,鲍鲸鲸 ,8.1,失恋是一种病，痊愈之后百毒不侵,34224, 2010-1 , 25.00元,https://book.douban.com/subject/4238754/
动物农场,[英] 乔治·奥威尔 ,9.2,太阳底下并无新事,35111, 2007-3 , 10.00元,https://book.douban.com/subject/2035179/
左耳,饶雪漫 ,7.0,当时只道是寻常,38349, 2006-2 , 22.00元,https://book.douban.com/subject/1469051/
