Date : 2022-04-20 12:08:35
Directory : d:\xampp\htdocs\orderfood
Total : 121 files,  16633 codes, 617 comments, 719 blanks, all 17969 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\xampp\htdocs\orderfood\uploadphp.php                              | PHP        |          9 |          0 |          0 |          9 |
| d:\xampp\htdocs\orderfood\upsetselfinf.php                           | PHP        |         32 |          0 |          2 |         34 |
| d:\xampp\htdocs\orderfood\xml\1.xml                                  | XML        |          4 |          0 |          0 |          4 |
| d:\xampp\htdocs\orderfood\xml\exp1.xml                               | XML        |         29 |          0 |          0 |         29 |
| d:\xampp\htdocs\orderfood\xml\exp2.xml                               | XML        |         23 |          0 |          2 |         25 |
| d:\xampp\htdocs\orderfood\xml\exp2.xsd                               | XML        |         53 |          3 |          7 |         63 |
| d:\xampp\htdocs\orderfood\xml\readxml.php                            | PHP        |         19 |          1 |          5 |         25 |
| d:\xampp\htdocs\orderfood\xml\yufa.xml                               | XML        |         21 |          5 |          1 |         27 |
| Total                                                                |            |     16,633 |        617 |        719 |     17,969 |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
